Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EffectiveEchoSpacing	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-norm_suffix-T1w__1	datatype-anat_reconstruction-norm_suffix-T1w	1				0.0		0.0		0.0	0.0	0.0	12	176	256	256	0.0029		12	8	False	RAS+		anat		0	1	False		2.0	1.0		2.5		False	1.0	1.0	1.0
				datatype-anat_suffix-T1w__1	datatype-anat_suffix-T1w	1				0.0		0.0		0.0	0.0	0.0	12	176	256	256	0.0029		12	8	False	RAS+		anat		0	1	False		2.0	1.0		2.5		False	1.0	1.0	1.0
				datatype-anat_suffix-TDP_acquisition-tr1__1	datatype-anat_suffix-TDP_acquisition-tr1	1				0.0		0.0		0.0	0.0	0.0	9	80	80	44	0.01078		11	120	False	LAS+		anat		0	1	False			1.0		5.0		False	3.0	3.0	3.0
			datatype-anat_suffix-TDP_acquisition-tr1VARIANTEchoTimeC1FlipAngle75	datatype-anat_suffix-TDP_acquisition-tr1__2	datatype-anat_suffix-TDP_acquisition-tr1	2				1.0		0.0		0.0	0.0	0.0	2	80	80	44	0.00823		11	75	False	LAS+		anat		0	1	False			1.0		5.0		False	3.0	3.0	3.0
				datatype-anat_suffix-TDP_acquisition-tr2__1	datatype-anat_suffix-TDP_acquisition-tr2	1				0.0		0.0		0.0	0.0	0.0	9	80	80	44	0.01078		11	120	False	LAS+		anat		0	1	False			1.0		5.0		False	3.0	3.0	3.0
			datatype-anat_suffix-TDP_acquisition-tr2VARIANTEchoTimeC1FlipAngle75	datatype-anat_suffix-TDP_acquisition-tr2__2	datatype-anat_suffix-TDP_acquisition-tr2	2				1.0		0.0		0.0	0.0	0.0	2	80	80	44	0.00823		11	75	False	LAS+		anat		0	1	False			1.0		5.0		False	3.0	3.0	3.0
				datatype-anat_echo-1_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-1_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.0075		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-1_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-1_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.0075		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-2_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.015		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-2_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.015		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-3_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-3_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.0225		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-3_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-3_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.0225		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-4_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-4_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.03		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-4_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-4_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0		0.0		0.0	0.0	0.0	9	120	160	96	0.03		9	15	False	RAS+		anat		0	1	False		2.0	1.0	i	0.035		False	1.5	1.5	1.5
				datatype-anat_reconstruction-norm_suffix-T2w__1	datatype-anat_reconstruction-norm_suffix-T2w	1				0.0		0.0		0.0	0.0	0.0	7	176	256	256	0.565		7	120	False	RAS+		anat		0	1	False		2.0	1.0	i	3.2		False	1.0	1.0	1.0
				datatype-anat_suffix-T2w__1	datatype-anat_suffix-T2w	1				0.0		0.0		0.0	0.0	0.0	7	176	256	256	0.565		7	120	False	RAS+		anat		0	1	False		2.0	1.0	i	3.2		False	1.0	1.0	1.0
				datatype-dwi_direction-AP_part-mag_run-01_suffix-dwi__1	datatype-dwi_direction-AP_part-mag_run-01_suffix-dwi	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	136	136	84	0.09	0.000389994	11	90	True	LAS+		dwi	4.0	84	104	False		2.0	0.875	j-	4.3	0.0526491	False	1.691176414489746	1.691176414489746	1.7000000476837158
				datatype-dwi_direction-AP_part-phase_run-01_suffix-dwi__1	datatype-dwi_direction-AP_part-phase_run-01_suffix-dwi	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	136	136	84	0.09	0.000389994	11	90	True	LAS+		dwi	4.0	84	104	False		2.0	0.875	j-	4.3	0.0526491	False	1.691176414489746	1.691176414489746	1.7000000476837158
				datatype-fmap_direction-AP_echo-1_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-1_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.0208	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-1_fmap-epi_part-mag_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-1_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-1_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.0208	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-1_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-1_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.0208	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-1_fmap-epi_part-phase_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-1_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-1_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.0208	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-2_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-2_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.05848	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-2_fmap-epi_part-mag_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-2_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-2_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.05848	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-2_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-2_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.05848	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-2_fmap-epi_part-phase_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-2_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-2_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.05848	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-3_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-3_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.09616	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-3_fmap-epi_part-mag_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-3_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-3_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.09616	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-3_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-3_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.09616	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
			datatype-fmap_direction-AP_echo-3_fmap-epi_part-phase_run-01_suffix-epi_acquisition-funcVARIANTObliquityTrue	datatype-fmap_direction-AP_echo-3_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func__2	datatype-fmap_direction-AP_echo-3_fmap-epi_part-phase_run-01_suffix-epi_acquisition-func	2				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	110	110	72	0.09616	0.000279996	12	90	False	LAS+		fmap		72	3	True		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
				datatype-fmap_direction-AP_echo-4_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func__1	datatype-fmap_direction-AP_echo-4_fmap-epi_part-mag_run-01_suffix-epi_acquisition-func	1				0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	110	110	72	0.13384	0.000279996	12	90	False	LAS+		fmap		72	3	False		2.0	0.75	j-	13.693	0.0305196	False	2.0	2.0	2.0
