subject	AcqGroup
sub-24053	1
sub-24630	1
sub-24699	1
sub-24702	1
sub-PILOT02	2
sub-PILOT01	3
sub-24697	4
sub-60295	5
sub-24696	6
sub-24684	7
sub-24683	8
sub-24663	9
