Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	ArterialSpinLabelingType	BackgroundSuppression	BackgroundSuppressionNumberPulses	Cluster_EchoTime	Cluster_EchoTimes	Cluster_EffectiveEchoSpacing	Cluster_ImageOrientationPatientDICOM	Cluster_Parts	Cluster_RepetitionTime	Cluster_TotalReadoutTime	Cluster_VoxelSizeDim1	Cluster_VoxelSizeDim2	Cluster_VoxelSizeDim3	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EchoTimes	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	ImageOrientation	ImageOrientationPatientDICOM	M0Type	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	PCASLType	ParallelReductionFactorInPlane	PartialFourier	Parts	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-norm_suffix-T1w__1	datatype-anat_reconstruction-norm_suffix-T1w	1				0.0			0.0		0.0		0.0	0.0	0.0	12	176	256	256	0.0029			12	8	False	RAS+	[0, 1, 0, 0, 0, -1]		anat		0	1	False		2.0	1.0			2.5		False	1.0	1.0	1.0
				datatype-anat_suffix-T1w__1	datatype-anat_suffix-T1w	1				0.0			0.0		0.0		0.0	0.0	0.0	12	176	256	256	0.0029			12	8	False	RAS+	[0, 1, 0, 0, 0, -1]		anat		0	1	False		2.0	1.0			2.5		False	1.0	1.0	1.0
			datatype-anat_suffix-TDP_acquisition-tr1+v2	datatype-anat_suffix-TDP_acquisition-tr1__1	datatype-anat_suffix-TDP_acquisition-tr1	1				0.0			0.0		0.0		0.0	0.0	0.0	9	80	80	44	0.01078			11	120	False	LAS+	[1, 0, 0, 0, 1, 0]		anat		0	1	False			1.0			5.0		False	3.0	3.0	3.0
			datatype-anat_suffix-TDP_acquisition-tr1+v1	datatype-anat_suffix-TDP_acquisition-tr1__2	datatype-anat_suffix-TDP_acquisition-tr1	2				1.0			0.0		0.0		0.0	0.0	0.0	2	80	80	44	0.00823			11	75	False	LAS+	[1, 0, 0, 0, 1, 0]		anat		0	1	False			1.0			5.0		False	3.0	3.0	3.0
			datatype-anat_suffix-TDP_acquisition-tr2+v2	datatype-anat_suffix-TDP_acquisition-tr2__1	datatype-anat_suffix-TDP_acquisition-tr2	1				0.0			0.0		0.0		0.0	0.0	0.0	9	80	80	44	0.01078			11	120	False	LAS+	[1, 0, 0, 0, 1, 0]		anat		0	1	False			1.0			5.0		False	3.0	3.0	3.0
			datatype-anat_suffix-TDP_acquisition-tr2+v1	datatype-anat_suffix-TDP_acquisition-tr2__2	datatype-anat_suffix-TDP_acquisition-tr2	2				1.0			0.0		0.0		0.0	0.0	0.0	2	80	80	44	0.00823			11	75	False	LAS+	[1, 0, 0, 0, 1, 0]		anat		0	1	False			1.0			5.0		False	3.0	3.0	3.0
				datatype-anat_echo-1_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-1_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	9	120	160	96	0.0075	[0.008 0.008 0.015 0.015 0.022 0.022 0.03  0.03 ]		9	15	False	RAS+	[1, 4.897e-12, 0, -4.897e-12, 1, 0]		anat		0	1	False		2.0	1.0	['mag', 'phase', 'mag', 'phase', 'mag', 'phase', 'mag', 'phase']	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-1_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-1_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	9	120	160	96	0.0075	[0.008 0.008 0.015 0.015 0.022 0.022 0.03  0.03 ]		9	15	False	RAS+	[1, 4.897e-12, 0, -4.897e-12, 1, 0]		anat		0	1	False		2.0	1.0	['mag', 'phase', 'mag', 'phase', 'mag', 'phase', 'mag', 'phase']	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-2_part-mag_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	9	120	160	96	0.015	[0.008 0.008 0.015 0.015 0.022 0.022 0.03  0.03 ]		9	15	False	RAS+	[1, 4.897e-12, 0, -4.897e-12, 1, 0]		anat		0	1	False		2.0	1.0	['mag', 'phase', 'mag', 'phase', 'mag', 'phase', 'mag', 'phase']	i	0.035		False	1.5	1.5	1.5
				datatype-anat_echo-2_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm__1	datatype-anat_echo-2_part-phase_run-01_suffix-MEGRE_acquisition-1p5mm	1				0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	9	120	160	96	0.015	[0.008 0.008 0.015 0.015 0.022 0.022 0.03  0.03 ]		9	15	False	RAS+	[1, 4.897e-12, 0, -4.897e-12, 1, 0]		anat		0	1	False		2.0	1.0	['mag', 'phase', 'mag', 'phase', 'mag', 'phase', 'mag', 'phase']	i	0.035		False	1.5	1.5	1.5
